Протокол результатов.
М12
№,Номер,Фамилия,Имя,Г.р.,Разр.,Команда,Результат,Место,Отставание
1,2,Цивильский,Родион,2010,1р,Цивильск-США,00:27:24,1
2,1,Анисимов,Роман,2011,,Мирный-Русь,00:27:33,2,+00:00:09
3,3,Василенко,Михаил,2008,,Фрукты,00:29:05,3,+00:01:41
Ж12
№,Номер,Фамилия,Имя,Г.р.,Разр.,Команда,Результат,Место,Отставание
1,4,Моно,Елизавета,2012,,Фрукты,00:18:13,1
2,5,Анисимова,Кристина,2011,,Мирный-Русь,00:21:18,2,+00:03:05
Ж14
№,Номер,Фамилия,Имя,Г.р.,Разр.,Команда,Результат,Место,Отставание
1,8,Ильина,Ирина,2012,,Мирный-Русь,00:43:38,1
2,9,Королёва,Алёна,2010,,Фрукты,00:46:34,2,+00:02:56
3,6,Казанцева,Катерина,2012,,Мирный-Русь,00:46:57,3,+00:03:19
4,7,Сафронова,Светлана,2010,,Цивильск-США,00:49:36,4,+00:05:58
М14
№,Номер,Фамилия,Имя,Г.р.,Разр.,Команда,Результат,Место,Отставание
1,11,Кожевников,Владимир,2010,1р,Фрукты,00:22:06,1
2,12,Злобин,Максим,2010,,Мирный-Русь,00:23:37,2,+00:01:31
3,14,Федотов,Данил,2009,2р,Мирный-Русь,00:24:02,3,+00:01:56
4,10,Иванов,Максим,2009,1р,Цивильск-США,00:25:22,4,+00:03:16
5,13,Василенко,Григорий,2009,,Фрукты,00:25:53,5,+00:03:47
